serie,granularidade,smape,mape,mae,rmse,erro_total,n_treino,n_teste
valor,diario,76.57030996684324,201.34396026043277,19016.93898461546,22477.260048201126,59.82932705285232,243,30
valor,semanal,60.30898945784659,96.16796663049453,89070.57191951721,93520.7154919134,68.08673670134166,245,5
valor,mensal,46.052789907493604,59.8293270528523,440668.8160818132,440668.8160818132,59.8293270528523,243,1
qtd,diario,75.27298991078138,170.3294863605724,15.61450815714951,17.506901444458567,66.1289506708619,243,30
qtd,semanal,22.592735154809056,26.089481636093787,20.774487176858763,29.61939837048493,5.303536569773152,245,5
qtd,mensal,49.69692361851016,66.1289506708619,396.11241451846274,396.11241451846274,66.1289506708619,243,1
ticket,diario,43.76986930927072,35.404635150591545,482.5606197176784,717.0694360567074,2.76028871889103,243,30
ticket,semanal,75.08120939882382,126.41210203543076,7019.615994995441,7503.737487828649,109.43570348491487,245,5
ticket,mensal,2.798917825383537,2.76028871889103,997.4069699571046,997.4069699571046,2.76028871889103,243,1
